id,name,terminalName,Y,longitude,installed,locked,installDate,temporary,available_bikes,empty_docks,total_docks
214,"Endsleigh Gardens, Euston",1079,51.52683806,-0.130504336,TRUE,FALSE,1.28E+12,0,0,30,32
217,"Wormwood Street, Liverpool Street",2587,51.51615461,-0.082422399,TRUE,FALSE,1.28E+12,0,15,0,16
215,"Moorfields, Moorgate",1092,51.51906932,-0.088285377,TRUE,FALSE,1.28E+12,1,43,9,54
220,"Chelsea Green, Chelsea",1179,51.49066456,-0.166485083,TRUE,FALSE,1.28E+12,0,12,15,27
218,"St. Luke's Church, Chelsea",3486,51.48971651,-0.170194408,TRUE,FALSE,1.28E+12,0,15,5,20
219,"Bramham Gardens, Earl's Court",1183,51.49016361,-0.19039362,TRUE,FALSE,1.28E+12,0,1,27,29
280,"Royal Avenue 2, Chelsea",3462,51.490083,-0.162418,TRUE,FALSE,1.28E+12,0,3,7,10
222,"Knightsbridge, Hyde Park",1101,51.50275704,-0.155349725,TRUE,FALSE,1.28E+12,0,19,23,43
281,"Smith Square, Westminster",3480,51.49580589,-0.127575233,TRUE,FALSE,1.28E+12,0,16,2,18
223,"Rodney Road , Walworth",3481,51.49148474,-0.090220911,TRUE,FALSE,1.28E+12,0,1,23,24
224,"Whiteley's, Bayswater",1150,51.51476963,-0.188129731,TRUE,FALSE,1.28E+12,0,0,14,16
225,"Notting Hill Gate Station, Notting Hill",1182,51.50935342,-0.196422,TRUE,FALSE,1.28E+12,1,4,25,30
230,"Poured Lines, Bankside",1144,51.50669284,-0.103137426,TRUE,FALSE,1.28E+12,0,27,4,31
226,"Charles II Street, West End",3488,51.50844614,-0.131961389,TRUE,FALSE,1.28E+12,0,21,2,24
229,"Whitehall Place, Strand",1151,51.50654321,-0.123179697,TRUE,FALSE,1.28E+12,0,22,2,24
227,"Great Percy Street, Clerkenwell",3470,51.52891573,-0.115480888,TRUE,FALSE,1.28E+12,0,0,20,23
228,"St. James's Square, St. James's",1067,51.50742485,-0.134621209,TRUE,FALSE,1.28E+12,0,37,0,40
232,"Carey Street, Holborn",1139,51.51501025,-0.112753217,TRUE,FALSE,1.28E+12,0,10,4,16
231,"Queen's Gate (Central), South Kensington",1089,51.49396755,-0.17873226,TRUE,FALSE,1.28E+12,0,14,17,31
236,"Fashion Street, Whitechapel",3483,51.51838043,-0.073438925,TRUE,FALSE,1.28E+12,0,23,7,30
233,"Pall Mall East, West End",1153,51.50777049,-0.130699733,TRUE,FALSE,1.28E+12,0,18,2,22
235,"Kennington Road  , Vauxhall",1154,51.49571828,-0.110889274,TRUE,FALSE,1.28E+12,0,13,23,36
